Prueba #, N, Tiempo total, Iterativa, Recursiva, Errores
1.0,10.0,2.56195E7,289600.0,723400.0,0.0
2.0,15.0,1.94169E7,706900.0,1535199.0,0.0
3.0,20.0,1.52436E7,1418801.0,519899.0,0.0
4.0,25.0,2.94472E7,1286200.0,1129600.0,0.0
5.0,30.0,4.08411E7,2056701.0,0.0,1.0
6.0,35.0,5.75321E7,1275600.0,0.0,1.0
7.0,40.0,6.3636199E7,1244000.0,0.0,1.0
8.0,45.0,1.62152199E8,2293499.0,0.0,1.0
9.0,50.0,1.30866101E8,3150801.0,0.0,1.0
10.0,55.0,1.46607E8,4192501.0,0.0,1.0
