Prueba #, N, Tiempo total, Iterativa, Recursiva, Errores
1.0,10.0,2.3389001E7,2238000.0,1935900.0,0.0
2.0,15.0,3.3624084E9,9414301.0,2787100.0,0.0
3.0,20.0,1.62588199E8,1.18454E7,1.3349801E7,0.0
4.0,25.0,5.5577601E7,1.72324E7,1.2835499E7,0.0
5.0,30.0,4.5569099E7,9994500.0,0.0,1.0
6.0,35.0,7.65389E7,1.4558999E7,0.0,1.0
7.0,40.0,8.70371E7,3.38859E7,0.0,1.0
8.0,45.0,9.66775E7,3.26814E7,0.0,1.0
9.0,50.0,1.011818E8,3.83327E7,0.0,1.0
10.0,55.0,1.5315E8,6.57552E7,0.0,1.0
